Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,37.34,NA,6.54,25.94,31.76,66.70,31.67,1.33,NA,NA,NA,NA,NA,NA,NA,NA,91.52,0.74,268.72,NA,NA,22.22,993.62,-0.44
2020-01-02 00:00:00,32.99,NA,6.36,22.98,29.34,61.61,5.00,1.66,NA,NA,NA,NA,NA,NA,NA,NA,92.10,0.56,254.47,NA,NA,27.39,994.02,-0.46
2020-01-03 00:00:00,38.00,NA,9.26,21.04,30.29,63.62,6.74,1.98,NA,NA,NA,NA,NA,NA,NA,NA,89.31,0.62,197.40,NA,NA,36.06,994.74,-0.45
2020-01-04 00:00:00,38.35,NA,8.93,25.45,34.36,72.16,4.43,1.93,NA,NA,NA,NA,NA,NA,NA,NA,88.03,0.74,122.66,NA,NA,44.08,992.61,-0.44
2020-01-05 00:00:00,21.99,NA,3.93,14.03,17.96,37.72,3.59,1.87,NA,NA,NA,NA,NA,NA,NA,NA,84.94,0.80,163.25,NA,NA,42.83,993.35,-0.43
2020-01-06 00:00:00,21.86,NA,5.33,19.57,24.77,52.01,4.62,1.92,NA,NA,NA,NA,NA,NA,NA,NA,88.34,0.86,291.86,NA,NA,40.46,NA,-0.43
2020-01-07 00:00:00,52.35,NA,4.98,21.41,26.06,54.72,68.28,0.89,NA,NA,NA,NA,NA,NA,NA,NA,78.60,1.08,301.98,NA,NA,62.69,NA,-0.40
2020-01-08 00:00:00,62.55,NA,4.44,29.32,33.65,66.18,43.00,0.89,NA,NA,NA,NA,NA,NA,NA,NA,74.65,0.83,288.25,NA,NA,99.86,NA,-0.44
2020-01-09 00:00:00,58.24,NA,7.46,31.14,38.55,42.66,48.54,1.22,NA,NA,NA,NA,NA,NA,NA,NA,72.30,0.63,271.37,NA,NA,262.21,NA,-0.46
2020-01-10 00:00:00,66.26,NA,5.81,36.61,42.42,42.29,21.62,1.22,NA,NA,NA,NA,NA,NA,NA,NA,77.84,0.76,270.22,NA,NA,17.07,NA,-0.45
2020-01-11 00:00:00,65.03,NA,7.67,37.72,45.31,41.84,19.31,1.21,NA,NA,NA,NA,NA,NA,NA,NA,72.77,0.86,274.44,NA,NA,28.58,NA,-0.44
2020-01-12 00:00:00,78.16,NA,4.05,20.90,24.93,44.35,16.58,1.31,NA,NA,NA,NA,NA,NA,NA,NA,82.84,0.80,272.64,NA,NA,19.95,NA,-0.44
2020-01-13 00:00:00,98.12,NA,4.08,29.24,33.31,43.40,49.35,1.30,NA,NA,NA,NA,NA,NA,NA,NA,76.38,0.72,280.91,NA,NA,26.34,NA,-0.45
2020-01-14 00:00:00,89.85,NA,6.51,35.76,42.23,42.37,59.13,1.42,NA,NA,NA,NA,NA,NA,NA,NA,65.63,0.64,268.56,NA,NA,33.95,NA,-0.45
2020-01-15 00:00:00,84.55,NA,4.03,25.07,28.95,43.89,34.56,0.65,NA,NA,NA,NA,NA,NA,NA,NA,64.88,0.72,275.43,NA,NA,29.43,NA,-0.44
2020-01-16 00:00:00,81.34,NA,4.50,21.81,26.06,44.21,72.13,0.83,NA,NA,NA,NA,NA,NA,NA,NA,67.77,0.76,284.45,NA,NA,27.31,NA,-0.44
2020-01-17 00:00:00,58.97,NA,6.51,21.78,27.85,43.94,65.45,0.95,NA,NA,NA,NA,NA,NA,NA,NA,81.45,0.85,290.31,NA,NA,15.37,NA,-0.43
2020-01-18 00:00:00,50.13,NA,5.58,25.02,29.84,44.28,87.01,1.46,NA,NA,NA,NA,NA,NA,NA,NA,81.56,0.92,292.90,NA,NA,54.58,NA,-0.42
2020-01-19 00:00:00,62.39,NA,10.34,42.14,50.52,42.38,66.88,1.13,NA,NA,NA,NA,NA,NA,NA,NA,75.25,0.80,291.06,NA,NA,83.51,NA,-0.44
2020-01-20 00:00:00,67.21,NA,14.40,67.53,81.42,37.50,49.55,1.49,NA,NA,NA,NA,NA,NA,NA,NA,74.72,0.76,266.67,NA,NA,85.73,NA,-0.44
2020-01-21 00:00:00,82.49,NA,7.66,59.36,66.85,39.51,44.70,1.22,NA,NA,NA,NA,NA,NA,NA,NA,71.82,0.90,279.32,NA,NA,79.26,NA,-0.43
2020-01-22 00:00:00,77.07,NA,7.10,56.73,63.47,39.85,26.08,1.62,NA,NA,NA,NA,NA,NA,NA,NA,78.46,0.87,265.76,NA,NA,68.66,NA,-0.44
2020-01-23 00:00:00,92.17,NA,5.53,31.00,35.93,43.14,37.47,1.32,NA,NA,NA,NA,NA,NA,NA,NA,73.91,0.89,280.94,NA,NA,77.38,NA,-0.43
2020-01-24 00:00:00,97.13,NA,10.92,52.06,62.94,39.68,47.38,1.31,NA,NA,NA,NA,NA,NA,NA,NA,77.48,0.79,270.20,NA,NA,36.24,NA,-0.45
2020-01-25 00:00:00,82.81,NA,11.22,43.92,55.06,40.58,29.13,1.17,NA,NA,NA,NA,NA,NA,NA,NA,75.22,0.65,262.99,NA,NA,56.21,NA,-0.46
2020-01-26 00:00:00,60.72,NA,13.58,26.48,40.00,42.08,9.08,1.14,NA,NA,NA,NA,NA,NA,NA,NA,70.94,0.62,135.76,NA,NA,33.85,NA,-0.45
2020-01-27 00:00:00,65.92,NA,7.58,32.39,39.94,42.49,8.59,1.67,NA,NA,NA,NA,NA,NA,NA,NA,73.30,0.71,84.10,NA,NA,64.87,NA,-0.43
2020-01-28 00:00:00,79.41,NA,6.19,27.33,33.52,43.22,7.45,1.79,NA,NA,NA,NA,NA,NA,NA,NA,71.58,0.69,92.32,NA,NA,89.16,NA,-0.43
2020-01-29 00:00:00,71.97,NA,8.09,25.62,33.69,43.11,6.22,1.44,NA,NA,NA,NA,NA,NA,NA,NA,77.01,0.73,97.46,NA,NA,79.50,NA,-0.43
2020-01-30 00:00:00,64.43,NA,12.00,29.72,41.68,41.99,7.42,1.79,NA,NA,NA,NA,NA,NA,NA,NA,77.99,0.73,100.63,NA,NA,82.93,NA,-0.43
2020-01-31 00:00:00,62.44,NA,7.86,25.78,33.63,43.13,11.14,2.28,NA,NA,NA,NA,NA,NA,NA,NA,75.73,0.71,142.58,NA,NA,35.61,NA,-0.43
2020-02-01 00:00:00,70.92,NA,9.13,24.17,32.47,44.00,17.41,1.69,NA,NA,NA,NA,NA,NA,NA,NA,75.23,0.69,176.23,NA,NA,9.55,NA,-0.44
2020-02-02 00:00:00,50.88,NA,4.84,15.29,19.65,44.92,36.52,1.23,NA,NA,NA,NA,NA,NA,NA,NA,68.01,0.77,243.80,NA,NA,82.16,NA,-0.43
2020-02-03 00:00:00,65.45,NA,6.05,21.83,27.78,43.89,39.68,1.53,NA,NA,NA,NA,NA,NA,NA,NA,70.21,0.87,287.80,NA,NA,94.71,NA,-0.42
2020-02-04 00:00:00,70.52,NA,7.26,21.51,28.68,43.75,41.74,1.42,NA,NA,NA,NA,NA,NA,NA,NA,72.90,0.80,284.25,NA,NA,30.18,NA,-0.43
2020-02-05 00:00:00,77.92,NA,4.95,21.33,25.65,45.79,24.34,1.13,NA,NA,NA,NA,NA,NA,NA,NA,65.12,0.66,216.48,NA,NA,44.45,NA,-0.45
2020-02-06 00:00:00,63.89,NA,16.10,42.69,58.31,40.15,10.34,1.24,NA,NA,NA,NA,NA,NA,NA,NA,66.23,0.71,103.39,NA,NA,44.81,NA,-0.43
2020-02-07 00:00:00,52.38,NA,7.87,23.61,31.38,43.42,10.01,0.83,NA,NA,NA,NA,NA,NA,NA,NA,66.83,0.73,70.47,NA,NA,70.63,NA,-0.42
2020-02-08 00:00:00,26.84,NA,6.01,14.47,20.42,44.78,10.00,0.93,NA,NA,NA,NA,NA,NA,NA,NA,64.51,0.79,77.63,NA,NA,102.01,NA,-0.42
2020-02-09 00:00:00,26.27,NA,4.86,13.47,18.33,45.04,30.27,1.26,NA,NA,NA,NA,NA,NA,NA,NA,69.43,0.91,209.28,NA,NA,89.71,NA,-0.42
2020-02-10 00:00:00,42.79,NA,3.80,21.92,25.58,44.32,13.32,0.87,NA,NA,NA,NA,NA,NA,NA,NA,64.60,1.13,296.46,NA,NA,102.70,NA,-0.40
2020-02-11 00:00:00,25.62,NA,6.31,63.72,67.99,42.50,15.90,1.13,NA,NA,NA,NA,NA,NA,NA,NA,68.80,1.31,292.65,NA,NA,44.62,991.49,-0.38
2020-02-12 00:00:00,29.17,NA,8.80,51.98,59.66,40.85,15.74,1.22,NA,NA,NA,NA,NA,NA,NA,NA,71.29,1.38,283.74,NA,NA,45.30,987.61,-0.38
2020-02-13 00:00:00,77.88,NA,7.18,29.44,36.50,42.90,36.92,1.22,NA,NA,NA,NA,NA,NA,NA,NA,73.88,1.25,274.87,NA,NA,49.21,982.23,-0.40
2020-02-14 00:00:00,63.38,NA,4.78,27.23,31.97,43.49,41.24,1.59,NA,NA,NA,NA,NA,NA,NA,NA,67.85,0.70,250.39,NA,NA,52.55,950.11,-0.44
2020-02-15 00:00:00,61.41,NA,6.56,31.64,37.98,42.72,36.51,1.60,NA,NA,NA,NA,NA,NA,NA,NA,72.13,0.60,174.47,NA,NA,31.96,895.00,-0.45
