Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,59.89,104.25,8.43,18.0,21.23,23.1,7.31,1.19,25.34,1.14,1.86,,,0.15,0.4,,83.85,1.64,229.51,,,116.96,1008.93,-0.41
2024-01-02,45.35,80.03,5.85,9.59,15.45,21.88,5.59,1.18,25.16,1.1,1.64,,,0.21,0.56,,82.51,1.46,239.81,,,120.13,1008.33,-0.42
2024-01-03,47.04,82.83,6.45,9.83,16.15,21.66,6.66,1.23,18.76,1.62,3.26,,,0.34,0.89,,88.34,1.39,221.59,,,119.11,1007.78,-0.42
2024-01-04,25.99,57.97,5.73,10.09,15.75,21.02,6.99,1.31,17.65,1.22,3.3,,,0.3,0.87,,96.9,1.35,215.54,,,106.98,1006.89,-0.43
2024-01-05,55.32,134.19,5.46,9.67,15.13,20.72,4.94,0.88,18.66,0.62,1.68,,,0.23,0.57,,95.07,1.95,232.29,,,125.22,1007.73,-0.39
2024-01-06,31.12,73.7,5.94,9.85,15.76,21.35,4.41,0.65,17.98,0.52,1.16,,,0.16,0.39,,98.56,2.22,241.93,,,119.58,1007.78,-0.37
2024-01-07,44.67,107.58,5.65,9.51,15.17,20.45,4.48,1.04,21.47,0.48,0.97,,,0.13,0.32,,98.66,2.18,240.84,,,113.63,1008.88,-0.37
2024-01-08,52.87,128.2,6.25,9.43,15.65,21.25,8.83,1.25,23.79,0.6,1.19,,,0.15,0.44,,98.7,1.63,247.25,,,109.68,1009.72,-0.41
2024-01-09,51.58,124.84,6.46,9.64,16.1,21.36,4.99,1.25,26.29,0.93,1.38,,,0.18,0.4,,98.59,1.86,252.66,,,130.69,1008.78,-0.39
2024-01-10,50.76,122.78,6.1,9.57,15.44,20.68,6.43,1.02,24.3,0.56,0.98,,,0.13,0.3,,95.25,1.66,249.39,,,123.47,1008.51,-0.41
2024-01-11,65.23,158.77,7.48,9.88,16.56,22.08,5.09,0.86,19.64,0.61,1.06,,,0.18,0.35,,90.26,1.65,250.67,,,125.23,1008.92,-0.41
2024-01-12,67.38,164.34,6.21,9.73,15.74,21.19,5.54,1.01,18.8,0.98,2.08,,,0.23,0.53,,94.07,1.38,234.24,,,116.9,1008.82,-0.42
2024-01-13,116.98,288.35,5.87,10.14,16.02,21.1,6.77,0.97,18.55,1.14,2.49,,,0.27,0.62,,95.44,1.31,232.53,,,131.04,1009.02,-0.43
2024-01-14,139.87,348.48,5.75,9.69,15.44,20.86,10.25,1.25,17.89,14.38,5.71,,,0.5,0.97,,89.05,1.15,197.96,,,130.71,1008.56,-0.44
2024-01-15,120.57,297.35,5.51,9.34,14.85,20.76,6.55,1.25,16.57,4.25,3.4,,,0.31,0.78,,83.32,0.76,199.93,,,118.14,1008.2,-0.46
2024-01-16,86.32,211.72,5.83,9.94,15.77,21.07,6.33,1.32,16.49,2.76,3.53,,,0.29,0.86,,74.32,0.97,215.48,,,115.97,1007.51,-0.45
2024-01-17,47.5,119.83,5.41,9.6,15.01,20.54,4.99,1.2,15.61,2.58,4.36,,,0.34,1.14,,74.79,1.01,191.05,,,119.01,1007.21,-0.45
2024-01-18,38.47,104.86,6.58,9.56,16.13,21.62,5.55,1.38,11.72,2.89,4.38,,,0.34,0.98,,84.15,0.97,224.36,,,131.59,1007.58,-0.44
2024-01-19,34.71,94.03,8.48,9.26,16.99,20.83,7.45,0.93,11.78,2.07,3.56,,,0.31,0.8,,89.1,1.25,227.67,,,122.09,1007.85,-0.43
2024-01-20,61.95,162.15,11.75,10.04,21.65,23.3,5.79,1.5,10.13,1.81,2.44,,,0.26,0.62,,83.14,1.38,233.54,,,119.03,1008.61,-0.42
2024-01-21,44.43,118.38,12.07,9.6,21.29,22.49,5.2,1.05,10.15,2.88,4.67,,,0.34,1.0,,79.6,0.75,195.49,,,123.38,1008.65,-0.46
2024-01-22,40.64,108.85,11.29,9.8,20.82,21.77,5.29,0.94,10.34,1.75,4.27,,,0.3,0.94,,83.52,0.73,168.31,,,128.21,1009.3,-0.46
2024-01-23,31.33,85.58,11.94,9.52,21.46,22.8,5.44,0.95,13.16,1.72,4.82,,,0.45,1.46,,83.47,0.96,247.67,,,127.5,1009.02,-0.45
2024-01-24,35.37,85.51,11.28,9.39,20.38,21.26,5.42,1.32,10.76,1.74,7.33,,,1.02,2.68,,78.51,0.98,188.62,,,126.11,1008.57,-0.45
2024-01-25,34.45,70.18,11.84,9.49,20.48,22.45,4.78,1.48,11.9,1.45,4.86,,,0.64,1.56,,77.77,0.98,185.71,,,127.73,1009.27,-0.45
2024-01-26,35.9,67.5,12.29,9.15,21.44,22.69,4.81,1.4,36.67,1.61,3.41,,,0.25,0.68,,82.42,1.32,227.11,,,137.11,1010.65,-0.42
