Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,43.48,NA,9.13,6.31,14.88,41.69,8.07,0.71,NA,2.09,NA,NA,NA,NA,NA,NA,71.65,1.35,301.58,NA,NA,277.49,992.20,-0.39
2021-01-02 00:00:00,40.63,NA,9.58,6.56,15.52,42.53,NA,NA,NA,1.81,NA,NA,NA,NA,NA,NA,87.80,1.25,295.52,NA,NA,249.28,991.30,-0.40
2021-01-03 00:00:00,35.14,NA,10.62,4.39,15.01,42.50,7.78,0.86,NA,1.89,NA,NA,NA,NA,NA,NA,86.13,1.49,301.81,NA,NA,260.06,NA,-0.38
2021-01-04 00:00:00,34.81,NA,11.05,3.91,14.96,42.56,8.76,0.92,NA,2.15,NA,NA,NA,NA,NA,NA,84.19,1.42,294.50,NA,NA,268.43,981.13,-0.39
2021-01-05 00:00:00,32.75,NA,18.09,4.39,22.38,50.97,8.39,0.90,NA,3.73,NA,NA,NA,NA,NA,NA,99.68,0.83,282.49,NA,NA,247.89,978.15,-0.44
2021-01-06 00:00:00,49.15,NA,11.01,4.01,15.02,42.60,8.21,1.30,NA,1.99,NA,NA,NA,NA,NA,NA,95.10,0.91,280.14,NA,NA,281.01,985.84,-0.43
2021-01-07 00:00:00,43.57,NA,11.34,3.95,15.29,42.97,8.43,1.07,NA,1.19,NA,NA,NA,NA,NA,NA,94.62,1.03,283.63,NA,NA,287.42,996.85,-0.42
2021-01-08 00:00:00,52.92,NA,11.13,3.95,15.08,42.35,7.93,1.32,NA,1.77,NA,NA,NA,NA,NA,NA,97.06,0.89,288.77,NA,NA,266.73,998.49,-0.44
2021-01-09 00:00:00,34.40,NA,11.23,3.96,15.19,42.87,8.15,0.86,NA,1.58,NA,NA,NA,NA,NA,NA,92.01,1.08,290.51,NA,NA,285.62,997.02,-0.42
2021-01-10 00:00:00,31.83,NA,11.04,3.99,15.03,42.66,7.70,0.83,NA,2.32,NA,NA,NA,NA,NA,NA,91.85,1.36,290.65,NA,NA,281.19,NA,-0.40
